index,address,type,state
1,8420,switch,15
2,8384,switch,15
3,8396,switch,15
4,8360,switch,15
5,8358,switch,15
6,8357,switch,15
7,8333,switch,15
8,8332,switch,15
9,8328,switch,15
10,8296,switch,15
11,8270,switch,15
12,8245,switch,15
13,8235,switch,15
14,8220,switch,15
15,8441,switch,15
16,8448,switch,15
17,8451,switch,15
18,8452,switch,15
19,8453,switch,15
20,8454,switch,15
21,8455,switch,15
22,8456,switch,15
23,8457,switch,15
24,8458,switch,15
25,8483,switch,15
26,8491,switch,15
27,8506,switch,15
28,8524,switch,15
29,8550,switch,15
30,8575,switch,15
31,8415,signal,15
32,8413,signal,15
33,8412,signal,15
34,8411,signal,15
35,8410,signal,15
36,8409,signal,15
37,8408,signal,15
38,8407,signal,15
39,8406,signal,15
40,8405,signal,15
41,8404,signal,15
42,8403,signal,15
43,8401,signal,15
44,8399,signal,15
45,8393,signal,15
46,8392,signal,15
47,8391,signal,15
48,8387,signal,15
49,8388,signal,15
50,8385,signal,15
51,8379,signal,15
52,8377,signal,15
53,8376,signal,15
54,8375,signal,15
55,8374,signal,15
56,8373,signal,15
57,8372,signal,15
58,8371,signal,15
59,8370,signal,15
60,8369,signal,15
61,8368,signal,15
62,8367,signal,15
63,8365,signal,15
64,8363,signal,15
65,8352,signal,15
66,8349,signal,15
67,8341,signal,15
68,8338,signal,15
69,8323,signal,15
70,8321,signal,15
71,8315,signal,15
72,8313,signal,15
73,8312,signal,15
74,8311,signal,15
75,8310,signal,15
76,8309,signal,15
77,8308,signal,15
78,8307,signal,15
79,8306,signal,15
80,8305,signal,15
81,8304,signal,15
82,8301,signal,15
83,8299,signal,15
84,8287,signal,15
85,8288,signal,15
86,8277,signal,15
87,8275,signal,15
88,8265,signal,15
89,8263,signal,15
90,8262,signal,15
91,8261,signal,15
92,8260,signal,15
93,8259,signal,15
94,8258,signal,15
95,8257,signal,15
96,8256,signal,15
97,8255,signal,15
98,8254,signal,15
99,8253,signal,15
100,8250,signal,15
101,8248,signal,15
102,8243,signal,15
103,8241,signal,15
104,8238,signal,15
105,8236,signal,15
106,8230,signal,15
107,8228,signal,15
108,8227,signal,15
109,8252,signal,15
110,8226,signal,15
111,8225,signal,15
112,8223,signal,15
113,8224,signal,15
114,8217,signal,15
115,8215,signal,15
116,8439,signal,15
117,8463,signal,15
118,8465,signal,15
119,8467,signal,15
120,8468,signal,15
121,8469,signal,15
122,8493,signal,15
123,8495,signal,15
124,8501,signal,15
125,8509,signal,15
126,8511,signal,15
127,8513,signal,15
128,8514,signal,15
129,8515,signal,15
130,8516,signal,15
131,8517,signal,15
132,8529,signal,15
133,8531,signal,15
134,8541,signal,15
135,8543,signal,15
136,8553,signal,15
137,8555,signal,15
138,8557,signal,15
139,8558,signal,15
140,8559,signal,15
141,8560,signal,15
142,8561,signal,15
143,8562,signal,15
144,8563,signal,15
145,8564,signal,15
146,8565,signal,15
147,8566,signal,15
148,8567,signal,15
149,8568,signal,15
150,8570,signal,15
151,8576,signal,15
152,8578,signal,15
153,8579,signal,15